"dataset","n_cells","pct_annotated_level2"
"GSE122712",9153,95.9248333879602
"GSE129030",27671,95.9777384265115
"GSE131535",8959,95.2226811028017
"GSE141895",7626,88.2769472856019
"GSE160055",17828,95.5351133049136
"GSE164978",30886,98.7405296898271
"GSE182275",45338,94.9711059155675
"GSE186164",26526,97.9680313654528
"GSE189485",5962,93.2069775243207
"GSE196338",8772,97.34382124943
"GSE202543",26666,95.8823970599265
"GSE234317",3767,90.5495088930183
"GSE239558",12429,95.8564647196074
"GSE244487",44143,99.1414267267744
"GSE253394",9218,90.8223041874593
"TabulaMuris",14820,95.8704453441295
