Gene	auc
Mmp13	0.993146262063276
Ace	0.989305644919774
Il5	0.982730046902861
Ccl20	0.98175711747933
Gzme	0.981009181302874
Gzmg	0.978462027553666
Gzmd	0.975733521236313
Il13	0.972880835898576
Cxcl3	0.968868396115569
Il17f	0.96062841645082
Gzmf	0.959739044621962
Il10	0.944749085139613
Il22	0.940383776260106
Ccl1	0.939793997160415
Lrrc32	0.939234649913709
Il21	0.93308095375204
Il4	0.931070245830415
Il17a	0.922995613243517
Cxcl2	0.911169778784008
Ebi3	0.910028971186225
Areg	0.884291503663356
Csf1	0.882310154214109
Il2	0.882298267448303
Gzmm	0.881766356467991
Gzmk	0.860300359977692
Gzmc	0.856364394401825
Tnfsf11	0.838326746395523
Igfbp4	0.836396114737596
Ccl3	0.827375873616619
Cxcl10	0.797226729647773
Cd40lg	0.793857364208679
Ifng	0.78793618912594
Xcl1	0.782698527477643
Entpd1	0.777777643859327
Ccl4	0.775508125392768
Gzma	0.773625133931122
Prf1	0.765513485841417
Fgl2	0.758959802806044
Gzmb	0.745825766525172
Tnfsf9	0.742654106421823
Lgals3	0.739571789326872
Fasl	0.728495173099013
Lta	0.724327929332998
Tnfsf14	0.717828976168118
Tnfsf10	0.709311611377509
Tnfsf8	0.695637113516068
Tnf	0.694109334448253
Lgals1	0.646509530739652
Cd274	0.61273577492624
Il16	0.587749899121807
Ltb	0.576938161302532
Tgfb1	0.574430397734871
Lgals9	0.564518430744708
Sema4d	0.562535980205057
