Gene	auc
Sox13	0.95744744171123
Pparg	0.955552947624744
Heyl	0.92376198305899
Rorc	0.917020562397973
Batf3	0.913755251858618
Hlf	0.913206715518518
Foxp3	0.91137827603323
Zbtb32	0.882285177433461
Tox2	0.879337121133517
Ebf1	0.877087118648297
Mef2c	0.875445304269263
Zbtb16	0.872360092360748
Nr1d1	0.872167584652643
Hes1	0.869938345109143
Sox4	0.869058150211681
Arnt2	0.868660093749043
Tshz2	0.868019171765365
Sox5	0.864883284990461
Zfp683	0.84771098515591
Atf3	0.835428295814546
Eomes	0.819782061116388
Maf	0.812834285043474
Hic1	0.812754327100292
Myb	0.809963952218465
Ikzf4	0.798084980965882
Zeb2	0.797452928272721
Gtf2ird1	0.79015284384449
Epas1	0.78854406039128
Klf4	0.786943356456483
Cebpd	0.779414736150067
E2f2	0.776252653488556
Prox2	0.774894818867068
Maff	0.765157667825845
Prdm1	0.762872048941292
Irf4	0.760184319219432
Egr2	0.754097331275616
Irf5	0.741682156535113
Ahr	0.740638523560181
Rora	0.735418243683306
Tcf4	0.731182440276203
Irf8	0.729659623019364
Nfil3	0.728917633716693
Litaf	0.727294576501098
Plscr1	0.725167258120497
Zfp467	0.722521243930904
Aff3	0.720288207770005
Tbx21	0.716154933237997
Jdp2	0.715008715228417
Rarg	0.712486461917596
Mxi1	0.707840068442442
Pou2f2	0.706897481801202
Ss18l1	0.705611760856803
Klf9	0.705559601105006
Fosl2	0.705251520785405
Nr4a2	0.700259510674397
Bhlhe40	0.695964763813529
Hivep3	0.695585041325879
Ikzf2	0.694417908729432
Crem	0.694391544409357
Fosb	0.69332530365363
Runx2	0.691449367719693
Nr4a3	0.686941068700094
Rbpj	0.68653670512844
Atf5	0.681816336372108
Bmyc	0.681320709275511
Lef1	0.681066792084009
Zfp422	0.680458844744711
Ets2	0.680133603732292
Trps1	0.676759097855423
Ar	0.675084577329975
Atf6	0.672729291070547
Bcl6	0.672126783861742
Tgif1	0.667054779513868
Zfp219	0.661305921899242
Pou6f1	0.661034878852126
Myc	0.660068898945603
Zfp846	0.659374291833121
Csrnp1	0.658504113923706
Nr4a1	0.658398169001901
Mxd1	0.656565404946663
Cebpb	0.656450636211905
Gfi1	0.654686377211796
Gata3	0.651456321762365
Satb1	0.65103393130341
Tcf7	0.650125320396727
Klf3	0.647928639864505
Bach2	0.643058917388836
Zhx2	0.642012679301827
Tox	0.641924436391129
Patz1	0.641565832488174
Klf2	0.640128840239233
Batf	0.63994111418555
Smad3	0.638954632505229
Nfkb2	0.637134111727639
Egr1	0.635004519152032
Skil	0.634843575816334
Rreb1	0.634810845899856
Zfp52	0.633837077925332
Etv6	0.63145319902843
Hif1a	0.630438154383505
Fos	0.629652746008359
Relb	0.62265601740539
Mafk	0.622461029750448
Zbtb38	0.621825708679224
Rel	0.621305889294774
Nfic	0.619530005699956
Foxo3	0.619513822990872
Hivep1	0.619280068589182
Klf10	0.618623724519198
Nfkb1	0.618413840527561
Zfp770	0.618375270053725
A630001G21Rik	0.618154006277595
Rfx3	0.618018868624775
Foxk1	0.618007859562398
Irf7	0.615560889348556
Tfdp2	0.615300875305215
Aff1	0.6150940836424
Cux1	0.615058408365638
Stat5a	0.614694401149277
Zfp1	0.613139820950457
Notch2	0.612929988616334
Etv3	0.612929454689548
Jun	0.612569968804159
Zfp281	0.612460219847703
Zfp652	0.612355074658479
Runx3	0.611973185519146
Runx1	0.611749270546726
Bcl11b	0.611335886299994
Stat2	0.611322131855443
Rara	0.610819742573787
Zbtb20	0.610422833619098
Mxd4	0.610194788041963
Zeb1	0.607666696436806
Nr3c1	0.607626306618083
Bach1	0.606420192464999
Pou2f1	0.604058320425928
Ppard	0.603860338290908
Zfp280d	0.603137841833413
Zfp217	0.600131285962249
Zfp637	0.6000927756369
Ski	0.599684037656778
Tshz1	0.598634836082965
Srebf2	0.597962639684426
Tcf20	0.597487699824143
Foxp4	0.597321676332396
Xbp1	0.597168587875123
Klf6	0.596070976122804
Mlxip	0.59599067358472
Zfp260	0.595762305726889
Foxo1	0.595638763094069
Ikzf3	0.594598317862705
Mef2a	0.594384791576075
Elk3	0.593761365260988
Hivep2	0.593731049386433
Gtf2i	0.593699980823699
Tfdp1	0.593399207980618
Zfp53	0.593216170447087
Zfp950	0.593184203175098
Irf9	0.592775799049109
Klf7	0.592589273366352
Zfp329	0.592499006756296
Nfatc2	0.592473601134558
Hes6	0.592075057787645
Tcf12	0.591910773748413
Foxp1	0.591844904984001
Stat3	0.590969935288864
Ncoa3	0.590951134106492
Nfat5	0.590864631692578
Stat5b	0.589797266748053
Stat4	0.589390928438361
Zfp182	0.588151856021925
Gmeb1	0.588114589949273
Zfp771	0.588046797331484
Zbtb1	0.5874628246627
Zfp945	0.586162007930386
Atf4	0.585458395685378
Tcf3	0.584618383527058
Sp110	0.584609953154426
Stat1	0.584290484893718
Kmt2d	0.583434072868036
Pknox1	0.583348306061406
Foxn3	0.582645712463016
Zfp787	0.582176735565552
Arnt	0.582115006170333
Zscan26	0.582065322747356
Foxk2	0.581709032690742
Usf3	0.58057349071562
Cic	0.580199127200534
Zfp397	0.579978053654008
Nfatc1	0.579243835756572
Eno1	0.579035176487259
Mrtfa	0.578801529457414
Rfx7	0.578719824425703
Mga	0.578303533624877
Elk4	0.577715813677053
Zfp146	0.577530883721467
Junb	0.577522781769449
Zfp143	0.577502982557397
Nfe2l2	0.577480804142128
Zfp644	0.577193580058833
Ikzf1	0.576879685039851
Crebrf	0.576710359606705
Zfp672	0.576666305528434
Zbtb2	0.57661104816395
Sp100	0.576510495037792
Hbp1	0.576042709512496
Zfp236	0.576018118404314
Zfp451	0.576014952293213
Zfp869	0.575709068798907
Bbx	0.575395416641298
Max	0.574491249773882
Ylpm1	0.573684916614409
Spen	0.573665061359736
Zfp322a	0.57304893798089
Notch1	0.573015603874586
Nr2c2	0.572991973599575
Sp1	0.572633981854515
Zfp131	0.571534509615672
Zfp664	0.571297799752351
Thap11	0.570571462349112
Crebzf	0.569809714437616
Zfp871	0.5696395599315
Sp4	0.569633694025723
Dmtf1	0.569389315993777
Abhd2	0.569173579682546
Rest	0.568967277899876
Sp3	0.568573323413089
Smad4	0.568405149125627
Zfp110	0.568378757944449
Zfp266	0.567847006771668
Cebpg	0.56775670463398
Usf2	0.567750664819426
Zfp444	0.567723505187704
Irf1	0.567460757850737
Vezf1	0.567327579422723
Zfp263	0.565787097075428
Usf1	0.565673030164097
Cc2d1b	0.565008350198947
Zfp62	0.563867651492406
Zbtb25	0.5631480560009
Mef2d	0.562369234979219
Trp53	0.562247338629214
Nfyb	0.561781413183682
Zfp445	0.561515727204844
Tcerg1	0.561358761598016
Prdm2	0.561277711907599
Purb	0.561196731815213
Elf4	0.561085454560423
Rlf	0.560847126455605
Irf3	0.560461383509383
Foxj3	0.560392355853026
Zbtb11	0.560198957490209
Nfatc3	0.559722469601151
Preb	0.559655773345034
Maz	0.559295884581101
Creb1	0.559026783230203
Sp2	0.558997949959762
Foxn2	0.558253679473064
Atf6b	0.557574177757195
Atf2	0.557498631160837
Nrf1	0.557496924770522
Stat6	0.556504514469026
Mlx	0.555766963580643
Creb3	0.555544859337019
Zfp292	0.555427740412722
Gpbp1	0.555406107815157
Nfyc	0.55445182890673
Hdgf	0.554303006485903
Fli1	0.553569207113264
Zfp148	0.553509681998824
Zbtb7a	0.553058649940444
Zgpat	0.552956440302252
Irf2	0.552793177821751
Rfxap	0.552183558105812
Klf13	0.551912191607965
Hsf1	0.551905261269819
Zfp560	0.550530467405823
Nfx1	0.549958304573683
Ubp1	0.549899578775564
E2f4	0.548271830458496
Pura	0.547961333950993
Zfx	0.546830191350981
Rela	0.54618663742917
Elf2	0.545940603336588
Jund	0.545362511941501
Atf1	0.544808135296544
Smad2	0.544474027112527
Cdc5l	0.544422051579887
Elf1	0.543849145120057
Pcbp1	0.54104604436209
Ets1	0.541017464390343
Ctcf	0.540924884419571
Lrrfip1	0.537785433760202
Nr1h2	0.537564580874698
Yy1	0.53742962322041
Tox4	0.536680379081721
