"immgent_IGT_10xlane_id","hashtag_number","exp_number","exp_name","lab","encapsulation_date","encapsulated_cell_number","ncells_preqc","ncells_outliers_nGenes","ncells_outliers_deadcells","ncells_outliers_lowCountADT","ncells_outliers_autofluorescence","ncells_nonTcells","ncells_postqc","mean_nCount_RNA_postqc","mean_nFeature_RNA_postqc","mean_nCount_HTO_postqc","mean_nCount_ADT_postqc","IGT"
"IGT10","HT1","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,566,0,0,0,24,61,481,3686,1486,1412,8745,"IGT10"
"IGT10","HT10","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,376,0,0,0,22,23,331,3915,1647,2350,9285,"IGT10"
"IGT10","HT2","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1136,8,0,0,49,109,970,3741,1558,2496,8114,"IGT10"
"IGT10","HT3","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1063,6,1,0,201,239,617,4228,1696,1382,10962,"IGT10"
"IGT10","HT5","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,338,0,0,0,17,14,307,3963,1614,1549,9025,"IGT10"
"IGT10","HT6","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,362,2,0,0,27,21,312,3925,1587,1369,9220,"IGT10"
"IGT10","HT7","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,353,1,0,0,14,13,325,3694,1541,2013,8566,"IGT10"
"IGT10","HT8","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,382,1,0,0,21,20,340,3816,1567,1309,8640,"IGT10"
"IGT10","HT9","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,336,0,0,0,26,21,289,3892,1588,1250,9049,"IGT10"
"IGT11","HT1","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1853,17,0,0,22,159,1655,3674,1493,1025,6589,"IGT11"
"IGT11","HT10","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,986,5,0,1,16,67,897,3974,1672,1709,7091,"IGT11"
"IGT11","HT2","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,3691,37,0,0,44,350,3260,3647,1538,1847,6195,"IGT11"
"IGT11","HT3","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,3250,21,1,0,154,671,2404,4390,1715,1114,8974,"IGT11"
"IGT11","HT5","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1040,9,0,0,20,60,951,3805,1566,1118,6705,"IGT11"
"IGT11","HT6","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1183,7,0,0,28,58,1090,3924,1604,1088,7392,"IGT11"
"IGT11","HT7","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1106,7,0,0,20,63,1016,3803,1575,1540,6846,"IGT11"
"IGT11","HT8","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1059,6,0,0,12,65,976,3834,1590,951,6730,"IGT11"
"IGT11","HT9","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1055,3,0,0,35,53,964,3969,1604,949,7103,"IGT11"
"IGT12","HT1","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,1495,7,0,0,1,93,1394,3562,1477,715,5959,"IGT12"
"IGT12","HT10","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,550,3,0,0,9,50,488,4235,1758,1823,6426,"IGT12"
"IGT12","HT2","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,2478,19,0,0,6,160,2293,3669,1559,1943,5656,"IGT12"
"IGT12","HT3","exp_8","Secondary lymphoid organs, peritoneal cavity, and blood T cells","Immgen Core","14-Jun-22",60000,2516,36,1,0,26,573,1881,3943,1620,994,7819,"IGT12"
