"IGT","ncells_preqc","ncells_outliers_nGenes","ncells_outliers_deadcells","ncells_outliers_lowCountADT","ncells_outliers_autofluorescence","ncells_nonTcells","ncells_postqc","percent_postqc","percent_RNA_nGenes","percent_RNA_deadcells","percent_Protein_lowCount","percent_Protein_nonspecific_signal","percent_nonTcells"
"IGT2",7047,272,2,0,75,493,6207,88.0800340570456,3.85979849581382,0.0283808712927487,0,1.06428267347808,6.99588477366255
"IGT3",10154,27,3,0,157,407,9562,94.1697853062832,0.265905062044514,0.0295450068938349,0,1.5461886941107,4.00827260193027
"IGT5",7762,216,0,0,975,346,6225,80.1984024735893,2.78278794125225,0,0,12.5611955681525,4.45761401700593
"IGT6",4431,15,2,0,40,45,4331,97.7431730986233,0.3385240352065,0.0451365380275333,0,0.902730760550666,1.0155721056195
"IGT7",14078,6,0,0,0,347,13725,97.492541554198,0.0426196902969172,0,0,0,2.46483875550504
"IGT8",14145,112,68,0,0,891,13123,92.774832096147,0.79179922234005,0.48073524213503,0,0,6.29904559915164
"IGT9",9606,11,3,0,0,265,9328,97.1059754320217,0.114511763481158,0.0312304809494066,0,0,2.75869248386425
"IGT10",4912,18,1,0,401,521,3972,80.8631921824104,0.366449511400651,0.0203583061889251,0,8.16368078175896,10.60667752443
"IGT11",15223,112,1,1,351,1546,13213,86.7962950798134,0.73572883137358,0.00656900742297839,0.00656900742297839,2.30572160546541,10.1556854759246
"IGT12",10295,81,1,0,49,1047,9118,88.5672656629432,0.78678970373968,0.00971345313258863,0,0.475959203496843,10.1699854298203
"IGT13",16942,370,1,0,42,175,16355,96.5352378703813,2.1839216149215,0.00590249085113918,0,0.247904615747846,1.03293589894936
"IGT14",18190,297,9,0,116,201,17574,96.6135239142386,1.63276525563496,0.0494777350192413,0,0.637713029136888,1.10500274876306
"IGT15",1910,16,0,2,36,66,1790,93.717277486911,0.837696335078534,0,0.104712041884817,1.8848167539267,3.45549738219895
"IGT16",3860,20,0,30,110,126,3574,92.5906735751295,0.518134715025907,0,0.77720207253886,2.84974093264249,3.26424870466321
"IGT17",14578,194,2,0,21,0,14363,98.525174921114,1.33077239676224,0.0137193030594046,0,0.144052682123748,0
"IGT18",14268,144,4,13,60,0,14051,98.4791141014858,1.00925147182506,0.0280347631062518,0.0911129800953182,0.420521446593776,0
"IGT19",16805,41,0,5,586,51,16122,95.9357334126748,0.243975007438262,0,0.029753049687593,3.4870574233859,0.303481106813448
"IGT20",14166,168,0,0,583,193,13222,93.3361569956233,1.18593816179585,0,0,4.1154877876606,1.36241705492023
"IGT21",7742,67,0,8,377,164,7126,92.0433996383363,0.865409454921209,0,0.103332472229398,4.86954275381038,2.11831568070266
"IGT22",10225,365,1,0,772,1494,7594,74.2689486552567,3.56968215158924,0.0097799511002445,0,7.55012224938875,14.6112469437653
"IGT23",12325,380,0,21,224,471,11229,91.1075050709939,3.08316430020284,0,0.170385395537525,1.81744421906694,3.82150101419878
"IGT24",10755,94,3,4,398,231,10028,93.2403533240353,0.874012087401209,0.0278940027894003,0.0371920037192004,3.70060437006044,2.14783821478382
"IGT25",1777,5,0,0,124,23,1625,91.4462577377603,0.28137310073157,0,0,6.97805289814294,1.29431626336522
"IGT26",10148,130,0,0,163,59,9796,96.5313362238865,1.28104059913283,0,0,1.60622782814348,0.581395348837209
"IGT27",12331,32,1,24,171,202,11902,96.520963425513,0.259508555672695,0.00810964236477171,0.194631416754521,1.38674884437596,1.63814775768389
"IGT28",10734,372,0,3,1563,1220,7576,70.5794671138439,3.46562325321409,0,0.0279485746226942,14.5612073784237,11.3657536798957
"IGT29",13655,163,0,15,159,340,12978,95.0421091175394,1.19370194068107,0,0.109849871841816,1.16440864152325,2.4899304284145
"IGT30",11069,189,1,16,29,133,10702,96.6844340048785,1.70747131628873,0.00903423976872346,0.144547836299575,0.26199295329298,1.20155388924022
"IGT31",14879,109,0,1,6,207,14556,97.8291551851603,0.732576113986155,0,0.0067208817796895,0.040325290678137,1.39122252839573
"IGT32",5808,108,4,1,453,678,4568,78.6501377410468,1.8595041322314,0.068870523415978,0.0172176308539945,7.7995867768595,11.6735537190083
"IGT33",13127,53,1,29,504,2123,10418,79.3631446636703,0.403748000304715,0.00761788679820218,0.220918717147863,3.8394149462939,16.1727736725832
"IGT35",19188,176,4,6,93,526,18386,95.8203043568897,0.917239941630186,0.0208463623097769,0.0312695434646654,0.484677923702314,2.74129664373567
