Gene	auc
Sfrp4	0.998504322602551
Gm2663	0.99334850081274
Mmp13	0.993146262063276
Olfm3	0.993062774182282
Flrt3	0.990654054256894
Ace	0.989305644919774
Gfra4	0.986078498929005
Il5	0.982730046902861
Ccl20	0.98175711747933
Gzme	0.981009181302874
Gzmg	0.978462027553666
Slit3	0.978406226502756
Gzmd	0.975733521236313
Il13	0.972880835898576
Cxcl3	0.968868396115569
Orm3	0.965813932731298
Sostdc1	0.965617322205323
Csn1s2a	0.962771076300844
Il17f	0.96062841645082
Csn2	0.960418658213213
Gzmf	0.959739044621962
Cpe	0.953448677897547
Sparc	0.951222843843309
Col27a1	0.948620089393718
Il1rl1	0.947593120288239
Il10	0.944749085139613
Il22	0.940383776260106
Mmp25	0.940087260390688
Ccl1	0.939793997160415
Lrrc32	0.939234649913709
Mpo	0.937141718948384
Il1r1	0.936863917745318
Tff1	0.936442286175078
Il21	0.93308095375204
Il4	0.931070245830415
Tmprss6	0.924413526705211
Calca	0.923131084188169
Il17a	0.922995613243517
Tacstd2	0.920553599644861
Mmp9	0.920074629991695
Igfbp7	0.919510729992945
Penk	0.912256150692053
Cxcl2	0.911169778784008
Ebi3	0.910028971186225
Spp1	0.90268680610913
Angptl2	0.89183274615578
Nrn1	0.888873485128404
Rnase4	0.888285796654668
Areg	0.884291503663356
Csf1	0.882310154214109
Il2	0.882298267448303
Gzmm	0.881766356467991
H2-Q2	0.879998748504357
Krt18	0.879797561934368
Hbegf	0.873281804882698
Csf2	0.86968900330606
Serpinb1a	0.866949101479871
Kit	0.865017757772362
Smpdl3b	0.862030056261396
Serpine2	0.860956999680171
Gzmk	0.860300359977692
Sulf2	0.856895650846499
Gzmc	0.856364394401825
Napsa	0.85371650500653
Colq	0.853014878276137
Hpse	0.848073763007257
Cela1	0.847375723521004
Olfm1	0.845764430398361
Pltp	0.841332457365154
Tnfsf11	0.838326746395523
Igfbp4	0.836396114737596
Car2	0.830895422171449
Trf	0.830433548089686
Cd81	0.829804770475992
Ccl3	0.827375873616619
Susd2	0.825481161443805
Apol9b	0.822177505196516
Serpina3f	0.81362567678232
Cpd	0.812576996265438
Gcnt1	0.8108560550642
Podnl1	0.808825453547378
Rab4a	0.801168276772779
Ecm1	0.798606655863566
Anxa1	0.797680391506493
Cxcl10	0.797226729647773
S100a8	0.796873179602284
Il6ra	0.795720621203019
S100a4	0.795042239737222
Cd40lg	0.793857364208679
Lcn4	0.791122537998608
S100a9	0.788189063227112
Ifng	0.78793618912594
Xcl1	0.782698527477643
Entpd1	0.777777643859327
Ccl4	0.775508125392768
Gzma	0.773625133931122
Ckb	0.77314492659077
Cpm	0.770878276075704
C1qtnf6	0.767935131844897
Prf1	0.765513485841417
Apoe	0.759658575167957
Fgl2	0.758959802806044
Sell	0.758854457911655
Lrig1	0.757583255100463
Lyz2	0.75604575358702
Ramp1	0.752060130810086
Ldlr	0.750879934773503
St14	0.7460128890396
Gzmb	0.745825766525172
Tnfsf9	0.742654106421823
Bmp7	0.742648777729103
Metrnl	0.740260123148075
Lgals3	0.739571789326872
Cd74	0.73865409832129
Tgfbr3	0.731851432706783
Hspa1a	0.730362419746413
Fasl	0.728495173099013
Prdx4	0.726539594877448
Lta	0.724327929332998
Tnfsf14	0.717828976168118
C9orf72	0.714419167400255
Serpina3g	0.711557528916808
Gla	0.70963750900606
Tnfsf10	0.709311611377509
Hilpda	0.708108141061608
Prrg1	0.705836298184363
Pcyox1	0.704003546949235
Fabp5	0.700030303239472
Xdh	0.698916779887988
Il6st	0.697257609543882
Tnfsf8	0.695637113516068
Xylt1	0.695044731982783
Ctsl	0.694750891158933
Mr1	0.694596511898414
Tnf	0.694109334448253
Serpinb9	0.69385787639939
H2-T24	0.693542612051415
Pglyrp1	0.692192325162175
Adam9	0.690098123917269
Serpinb6b	0.687438860801426
Lxn	0.686214762662543
Pik3ip1	0.684424284591693
Selenop	0.682842356047956
Ccl5	0.680887172206173
Gsn	0.680613568308671
Ada	0.675045000792757
Pecam1	0.672462522302689
Cd9	0.671471104469543
Glipr2	0.670391138741634
Grn	0.664830828342739
Snx18	0.6613032588952
Timp2	0.660912078292648
Anxa2	0.651725437960217
Fas	0.649514978537394
Ahnak	0.648447241976446
Ctsw	0.648284765814923
Lgals1	0.646509530739652
Dipk2a	0.646401334314838
Raet1e	0.646034062989757
Icam1	0.644081352482256
Clcf1	0.635811041145998
Cst7	0.63465236957319
Cd1d1	0.63458361334227
Tnfrsf1a	0.629293437265698
Serpinb6a	0.628867031297671
Ctsc	0.627963653915412
Sorl1	0.627601445632006
Alad	0.625297169099631
Gabbr1	0.624809248099686
Ctss	0.624489131964081
Xylt2	0.624006129476275
Smpd1	0.621918419097235
S100a11	0.621504324887521
Il4ra	0.618275516956644
Nampt	0.616687683263893
Acp5	0.615942492508791
Igf2r	0.614600952966055
Ggh	0.613275997361465
Cd274	0.61273577492624
Lgals3bp	0.61138235247942
Nenf	0.609923849488099
Cstb	0.601496705197857
Ctsd	0.601229082105348
Cmtm7	0.60104887980148
Fam3c	0.599487772295292
Hspbp1	0.599341265290967
Ide	0.59857179057049
Smpdl3a	0.597722321615383
Rap2b	0.597434757963063
Man2a1	0.597422913806456
Spn	0.596935153445295
Lamp2	0.596674888597795
